City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,college,64.8569,-147.8028,1.61,77,100,1.54,US,1698626997
84,kiunga,-6.1219,141.2906,25.43,89,100,1.31,PG,1698626997
85,new norfolk,-42.7826,147.0587,16.72,64,93,3.7,AU,1698626997
86,trincomalee,8.5711,81.2335,25.83,82,100,1.12,LK,1698626997
87,tondano,1.3038,124.9112,27.05,52,100,1.5,ID,1698626997
88,antofagasta,-23.65,-70.4,17.6,77,42,2.82,CL,1698626866
89,usinsk,65.9939,57.5281,-11.63,87,100,2.68,RU,1698626998
90,punta arenas,-53.15,-70.9167,5.06,60,20,8.23,CL,1698626921
91,queenstown,-31.8976,26.8753,4.08,82,16,5.81,ZA,1698626998
92,tarawa,1.419,172.984,32.05,66,20,2.57,KI,1698626998
93,del rio,29.3627,-100.8968,10.01,87,100,11.83,US,1698626998
94,axim,4.8699,-2.2405,25.81,86,6,1.27,GH,1698626998
95,fort bragg,35.139,-79.006,21.75,78,0,0.0,US,1698626998
96,grand falls-windsor,48.9332,-55.6649,3.61,63,38,0.45,CA,1698626909
97,barcelos,41.5388,-8.6151,14.08,81,98,5.3,PT,1698626759
98,nemuro,43.3236,145.575,10.13,68,9,3.67,JP,1698626999
99,arraial do cabo,-22.9661,-42.0278,23.55,93,100,2.48,BR,1698626970
100,mossel bay,-34.1831,22.146,13.46,64,2,7.75,ZA,1698626999
101,papatowai,-46.5619,169.4708,14.79,54,7,5.12,NZ,1698626999
102,guerrero negro,27.9769,-114.0611,23.34,46,0,6.36,MX,1698626818
103,manay,7.215,126.5397,28.76,70,95,1.24,PH,1698626999
104,thunder bay,48.4001,-89.3168,-1.01,51,100,5.66,CA,1698626999
105,gemena,3.25,19.7667,21.48,97,91,0.69,CD,1698627000
106,alofi,-19.0595,-169.9187,27.94,69,13,7.2,NU,1698627000
107,agadez,19.75,10.25,24.09,17,16,3.53,NE,1698627000
108,praia da vitoria,38.7333,-27.0667,13.75,94,20,2.39,PT,1698627000
109,la passe,45.5549,-0.8967,12.21,96,100,5.64,FR,1698627000
110,iskateley,67.6803,53.1512,-8.88,86,100,5.81,RU,1698626726
111,nicoya,10.1483,-85.452,23.46,94,100,1.14,CR,1698627001
112,santa maria,-29.6842,-53.8069,21.61,88,0,2.06,BR,1698626646
113,whitehorse,60.7161,-135.0538,-1.06,87,75,7.2,CA,1698626793
114,salinas,36.6777,-121.6555,23.2,62,0,2.06,US,1698626956
115,formosa do rio preto,-11.0483,-45.1931,25.62,23,0,1.85,BR,1698627001
116,phan rang-thap cham,11.5667,108.9833,28.32,71,40,2.36,VN,1698627001
117,butembo,0.15,29.2833,13.35,95,57,1.34,CD,1698627002
118,quellon,-43.1167,-73.6167,6.13,87,100,5.15,CL,1698627002
119,lerwick,60.1545,-1.1494,8.0,66,12,13.25,GB,1698627002
120,noosa heads,-26.3833,153.15,25.74,58,0,4.13,AU,1698627002
121,piton saint-leu,-21.2196,55.3151,23.06,73,100,3.6,RE,1698627003
122,vernon,50.2581,-119.2691,6.2,54,13,0.51,CA,1698627003
123,umm kaddadah,13.6017,26.6876,27.43,16,41,4.38,SD,1698627003
124,hampton bays,40.869,-72.5176,14.36,92,100,5.14,US,1698627003
125,cabo san lucas,22.8909,-109.9124,27.61,69,0,5.14,MX,1698626784
126,arris,35.2588,6.3471,15.02,41,38,3.9,DZ,1698627004
127,fuxin,42.0156,121.6589,11.65,28,0,4.23,CN,1698627004
128,kertih,4.5141,103.4483,26.62,82,100,1.0,MY,1698627004
129,hadibu,12.65,54.0333,25.68,80,93,3.06,YE,1698627004
130,akdepe,42.0551,59.3788,10.05,51,91,1.64,TM,1698627005
131,necochea,-38.5473,-58.7368,14.63,41,100,4.56,AR,1698627005
132,coyhaique,-45.5752,-72.0662,3.34,80,75,1.54,CL,1698626897
133,hun,29.1268,15.9477,20.43,52,81,3.38,LY,1698627005
134,contamana,-7.3333,-75.0167,24.53,87,100,1.55,PE,1698627006
135,vadso,70.0744,29.7487,-4.91,86,100,3.6,NO,1698627006
136,lensk,60.7253,114.9278,-5.67,63,100,3.86,RU,1698627006
137,thompson,55.7435,-97.8558,-3.91,74,75,4.12,CA,1698627006
138,atherton,53.5237,-2.4935,10.25,92,97,2.74,GB,1698627007
139,soio,-6.1349,12.3689,25.43,89,95,5.15,AO,1698627007
140,tolanaro,-25.0319,46.9987,23.04,88,20,1.03,MG,1698627007
141,puntarenas,9.9763,-84.8384,25.11,88,100,1.82,CR,1698627007
142,sabang,5.8933,95.3214,27.52,75,100,3.4,ID,1698627007
143,dubna,56.7333,37.1667,-0.43,90,100,1.59,RU,1698627008
144,constantia,44.1833,28.65,12.61,70,0,3.33,RO,1698627008
145,hawaiian paradise park,19.5933,-154.9731,27.73,76,40,3.6,US,1698626896
146,turpan,42.9333,89.1667,14.51,36,100,0.2,CN,1698627008
147,makoua,0.0069,15.6333,24.84,78,100,0.92,CG,1698627008
148,santa sylvina,-27.8326,-61.1375,22.91,70,23,6.57,AR,1698627008
149,codrington,-38.2667,141.9667,11.01,91,100,4.61,AU,1698626757
150,alice springs,-23.7,133.8833,33.75,6,35,7.2,AU,1698626958
151,manicore,-5.8092,-61.3003,29.74,39,16,0.72,BR,1698627009
152,margaret river,-33.95,115.0667,13.45,61,100,3.96,AU,1698627009
153,yiwu,29.3151,120.0768,20.67,67,7,0.52,CN,1698627009
154,kodiak,57.79,-152.4072,8.73,93,100,3.6,US,1698627009
155,kidal,18.4411,1.4078,27.38,11,1,4.17,ML,1698627010
156,port saint john's,-31.6229,29.5448,14.37,63,95,2.25,ZA,1698627010
157,carutapera,-1.195,-46.02,26.18,78,14,3.77,BR,1698627010
158,hilo,19.7297,-155.09,31.82,79,40,3.6,US,1698626777
159,pemangkat,1.1667,108.9667,26.8,80,90,1.28,ID,1698627010
160,orland,39.7474,-122.1964,24.17,19,0,3.0,US,1698627011
161,tsiombe,-25.3,45.4833,20.78,84,0,2.43,MG,1698626713
162,dudinka,69.4058,86.1778,-19.66,99,67,0.69,RU,1698627011
163,burang,30.25,81.1667,-1.08,82,4,0.94,CN,1698627011
164,ghormach,35.7306,63.7826,18.56,32,7,1.34,AF,1698627011
165,nikol'sk,53.7189,46.0712,0.32,91,100,5.92,RU,1698627012
166,guanica,17.9716,-66.908,27.21,71,99,3.81,PR,1698627012
167,vila franca do campo,37.7167,-25.4333,15.23,99,100,1.36,PT,1698627012
168,sao benedito do rio preto,-3.3336,-43.5283,24.14,79,7,1.88,BR,1698627012
169,severo-yeniseyskiy,60.3725,93.0408,-15.79,99,87,0.89,RU,1698627012
170,bredasdorp,-34.5322,20.0403,13.02,59,0,8.5,ZA,1698627012
171,larkird,35.4894,66.6641,12.08,62,7,1.49,AF,1698627013
172,zakamensk,50.3741,103.2863,-4.34,84,100,0.68,RU,1698627013
173,lagos,6.5833,3.75,27.18,93,67,0.79,NG,1698626906
174,zavallya,48.2135,30.0156,11.78,60,100,3.74,UA,1698627013
175,oum el bouaghi,35.8754,7.1135,18.25,34,100,4.55,DZ,1698627013
176,siavonga,-16.5382,28.7088,26.63,56,98,1.6,ZM,1698627013
177,laguna,38.421,-121.4238,23.16,20,0,3.6,US,1698627014
178,eureka,40.8021,-124.1637,17.34,83,0,1.24,US,1698626911
179,kingscliff,-28.2667,153.5667,27.19,50,0,8.23,AU,1698627014
180,boyolangu,-8.1181,111.8935,28.43,63,24,3.46,ID,1698627014
181,carroll,39.5501,-77.0164,18.13,88,100,0.45,US,1698627014
182,ocean shores,46.9737,-124.1563,12.75,62,6,1.34,US,1698627004
183,maintirano,-18.0667,44.0167,25.0,81,4,4.43,MG,1698627015
184,yanykurgan,43.915,67.2481,14.96,54,27,1.98,KZ,1698627015
185,ringkobing,56.0901,8.244,10.01,86,97,5.76,DK,1698627015
186,city of balikpapan,-1.242,116.8942,29.97,79,40,1.54,ID,1698627015
187,west island,-12.1568,96.8225,25.99,83,75,6.17,CC,1698627015
188,klyuchi,52.2667,79.1667,-0.24,94,100,2.97,RU,1698627016
189,biltine,14.5333,20.9167,27.16,20,98,3.21,TD,1698627016
190,cut off,29.5427,-90.3381,25.56,83,40,1.54,US,1698626798
191,mukalla,14.5425,49.1242,25.31,73,16,2.17,YE,1698627016
192,peniche,39.3558,-9.3811,16.17,80,70,6.9,PT,1698627016
193,kismayo,-0.3582,42.5454,26.41,82,67,4.01,SO,1698627017
194,keflavik,64.0049,-22.5624,4.24,75,0,3.6,IS,1698627017
195,talnakh,69.4865,88.3972,-19.89,93,32,1.93,RU,1698627017
196,barra de santo antonio,-9.4047,-35.5072,23.6,77,77,3.83,BR,1698627017
197,weno,7.4515,151.8468,28.16,78,96,5.08,FM,1698627017
198,hallsberg,59.0657,15.1117,2.61,95,100,5.66,SE,1698627018
199,lihue,21.9789,-159.3672,27.77,72,75,4.63,US,1698627018
200,truro,50.2653,-5.0544,14.91,74,75,5.14,GB,1698627018
201,bandarbeyla,9.4942,50.8122,25.94,82,100,3.72,SO,1698627018
